line_id,name,from_country,to_country,fmax_mw,capex_musd,iar_musd_y,cr_musd_y,residual_musd_y,use_pct,classification
25,PA_SUR --> CO_NORTE,PA,CO,400.0,190.7,17.778,379.027,0.0,75.85,Viable bilateralmente
34,PE_SUR --> CL_NORTE,PE,CL,200.0,81.8,7.626,138.992,0.0,92.68,Viable bilateralmente
40,NOA_CEN_LIT --> CL_NORTE,AR,CL,400.0,369.4,34.438,113.303,0.0,66.37,Viable bilateralmente
60,BO_ESTE --> BR_SUDESTE/CO,BO,BR,1000.0,1024.0,95.464,56.057,39.407,73.94,Viable bilateralmente
37,CL_NORTE --> BO_SUR,CL,BO,500.0,226.0,21.069,19.434,1.635,44.82,Viable bilateralmente
50,BO_NOROESTE --> PY_NORTE,BO,PY,400.0,163.2,15.215,2.87,12.344,41.08,Viable bilateralmente
20,NI_SUR --> CR_NORTE,NI,CR,300.0,48.7,4.54,0.012,4.529,44.06,Viable bilateralmente
2,GU_ESTE --> BELICE,GU,BE,200.0,19.5,1.818,0.004,1.814,24.8,Viable bilateralmente
23,CR_SUR --> PA_NORTE,CR,PA,300.0,24.6,2.293,0.003,2.291,10.71,Viable bilateralmente
38,COM_CUY --> CL_CENTRO,AR,CL,435.0,307.7,28.686,130.05,0.0,89.26,Viable solo con regionalización
32,EC_SUR --> PE_NORTE,EC,PE,500.0,266.5,24.845,7.76,17.085,49.09,No viable económicamente
11,GU_SUR --> ES_OCCIDENTAL,GU,ES,300.0,40.3,3.757,0.014,3.743,54.92,No viable económicamente
17,HN_SUR --> NI_NORTE,HN,NI,300.0,63.1,5.883,0.004,5.878,16.53,No viable económicamente
9,GU_ESTE --> HN_NORTE,GU,HN,300.0,49.4,4.605,0.001,4.604,3.91,No viable económicamente
14,ES_ORIENTAL --> HN_NORTE,ES,HN,300.0,54.9,5.118,0.0,5.118,0.57,No viable económicamente
